	language_label	profession	wikipedia_link	image_link
560	kk	Philosoph	http://kk.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/e/ed/Franz_Kafka_1910.jpg
561	ko	Philosoph	http://ko.wikipedia.org/wiki/%EC%B2%A0%ED%95%99%EC%9E%90	http://upload.wikimedia.org/wikipedia/commons/2/2c/Broom_icon.svg
562	ko	Philosoph	http://ko.wikipedia.org/wiki/%EC%B2%A0%ED%95%99%EC%9E%90	http://upload.wikimedia.org/wikipedia/commons/4/47/Monobook_icon.svg
563	ku	Philosoph	http://ku.wikipedia.org/wiki/F%C3%AElozof	http://upload.wikimedia.org/wikipedia/commons/1/18/The_School_of_Athens.jpg
564	lt	Philosoph	http://lt.wikipedia.org/wiki/Filosofas	-
565	mk	Philosoph	http://mk.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D0%B7%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg
566	mk	Philosoph	http://mk.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D0%B7%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/b/bd/Saint_Cyrill_statue_in_T%C5%99eb%C3%AD%C4%8D.jpg
567	mk	Philosoph	http://mk.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D0%B7%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/1/18/The_School_of_Athens.jpg
568	nah	Philosoph	http://nah.wikipedia.org/wiki/Tlazohmatiliztl%C4%81catl	-
569	nl	Philosoph	http://nl.wikipedia.org/wiki/Filosoof	http://upload.wikimedia.org/wikipedia/commons/3/36/Rembrandt_Harmensz._van_Rijn_038.jpg
570	oc	Philosoph	http://oc.wikipedia.org/wiki/Filos%C3%B2f	-
571	pa	Philosoph	http://pa.wikipedia.org/wiki/%E0%A8%A6%E0%A8%BE%E0%A8%B0%E0%A8%B8%E0%A8%BC%E0%A8%A8%E0%A8%BF%E0%A8%95	http://upload.wikimedia.org/wikipedia/commons/3/31/La_scuola_di_Atene.jpg
572	pnb	Philosoph	http://pnb.wikipedia.org/wiki/%D9%81%D9%84%D8%B3%D9%81%DB%8C	http://upload.wikimedia.org/wikipedia/commons/8/88/Plato_Silanion_Musei_Capitolini_MC1377.jpg
573	pt	Philosoph	http://pt.wikipedia.org/wiki/Fil%C3%B3sofos	-
