	language_label	profession	wikipedia_link	image_link
141	nl	Logisticians	http://nl.wikipedia.org/wiki/Logistiek	http://upload.wikimedia.org/wikipedia/commons/e/e2/Normandy_Invasion%2C_June_1944.jpg
142	nl	Logisticians	http://nl.wikipedia.org/wiki/Logistiek	http://upload.wikimedia.org/wikipedia/commons/3/32/BW_Fjord_an_Glameyer_Stack_2007-12-15.JPG
143	nl	Logisticians	http://nl.wikipedia.org/wiki/Logistiek	http://upload.wikimedia.org/wikipedia/commons/d/d0/AssemblyLine.jpg
144	nl	Logisticians	http://nl.wikipedia.org/wiki/Logistiek	http://upload.wikimedia.org/wikipedia/commons/7/7a/Dhl.a300b4.oo-dlz.arp.jpg
145	nl	Logisticians	http://nl.wikipedia.org/wiki/Logistiek	http://upload.wikimedia.org/wikipedia/commons/1/19/B%C3%BCnde%2C_Bruchm%C3%BChlen%2C_Kilver_Juni_2009_067.jpg
146	nl	Logisticians	http://nl.wikipedia.org/wiki/Logistiek	http://upload.wikimedia.org/wikipedia/commons/e/ee/1rightarrow_blue.svg
147	nl	Logisticians	http://nl.wikipedia.org/wiki/Logistiek	http://upload.wikimedia.org/wikipedia/commons/7/71/Terminologie_goederenstroom.jpg
148	nl	Logisticians	http://nl.wikipedia.org/wiki/Logistiek	http://upload.wikimedia.org/wikipedia/commons/5/51/Anacortes_Refinery_31911.JPG
149	nl	Logisticians	http://nl.wikipedia.org/wiki/Logistiek	http://upload.wikimedia.org/wikipedia/commons/6/61/Allentown_Project_042.jpg
150	nl	Logisticians	http://nl.wikipedia.org/wiki/Logistiek	http://upload.wikimedia.org/wikipedia/commons/5/55/Geely_assembly_line_in_Beilun%2C_Ningbo.JPG
151	nl	Logisticians	http://nl.wikipedia.org/wiki/Logistiek	http://upload.wikimedia.org/wikipedia/commons/d/de/Distribution_centre_%28J_Sainsbury%27s%29.jpg
152	no	Logisticians	http://no.wikipedia.org/wiki/Logistikk	http://upload.wikimedia.org/wikipedia/commons/6/61/Allentown_Project_042.jpg
153	no	Logisticians	http://no.wikipedia.org/wiki/Logistikk	http://upload.wikimedia.org/wikipedia/commons/a/a2/Modern_warehouse_with_pallet_rack_storage_system.jpg
154	pl	Logisticians	http://pl.wikipedia.org/wiki/Logistyka	http://upload.wikimedia.org/wikipedia/commons/7/72/Disambig.svg
155	pt	Logisticians	http://pt.wikipedia.org/wiki/Log%C3%ADstica	http://upload.wikimedia.org/wikipedia/commons/9/97/Automatisches_Kleinteilelager.jpg
156	pt	Logisticians	http://pt.wikipedia.org/wiki/Log%C3%ADstica	http://upload.wikimedia.org/wikipedia/commons/7/73/Tools_blue.svg
