_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,no_of_persons,no_of_persons:confidence,person_plural,person_plural:confidence,person_singular_dom,person_singular_dom:confidence,person_singular_nondom,person_singular_nondom:confidence,image_url,no_of_persons_gold,no_of_persons_gold_reason,person_plural_gold,person_plural_gold_reason,person_singular_dom_gold,person_singular_dom_gold_reason,person_singular_nondom_gold,person_singular_nondom_gold_reason
882949896,false,finalized,3,3/25/2016 13:45:10,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/8/83/Kopfbedeckungen_zu_B%C3%BChnenkost%C3%BCmen_f%C3%BCr_Damen_Ende_des_17._Jahrhunderts.jpg,,,,,,,,
882949897,false,finalized,3,3/25/2016 13:48:55,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/9/9c/Dye_laser_SF-07.jpg,,,,,,,,
882949898,false,finalized,3,3/25/2016 13:45:17,several_persons_but_one_persons_depiction_is_dominant,0.6562,,,male,0.6562,,0,http://upload.wikimedia.org/wikipedia/commons/3/33/Thai_Gem_Cutting.jpg,,,,,,,,
882949899,false,finalized,3,3/25/2016 13:46:24,one_person,1.0,,,,,male,1.0,http://upload.wikimedia.org/wikipedia/commons/e/ec/Schreiner-1.jpg,,,,,,,,
882949900,false,finalized,3,3/25/2016 13:56:10,several_persons_no_single_persons_depiction_is_dominant,1.0,only_male,1.0,,,,,http://upload.wikimedia.org/wikipedia/commons/0/0f/Fotothek_df_roe-neg_0006290_005_Portr%C3%A4t_von_Arbeitern_beim_S%C3%A4gen.jpg,,,,,,,,
882949901,false,finalized,3,3/25/2016 13:49:41,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/6/67/FvB_Rahmenbauweise.jpg,,,,,,,,
882949902,false,finalized,3,3/25/2016 13:45:10,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/2/2e/FvB_Bank_2005.JPG,,,,,,,,
882949903,false,finalized,3,3/25/2016 13:46:24,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/d/d2/003_Theresianism_Style_-_Interiors.jpg,,,,,,,,
882949904,false,finalized,3,3/25/2016 13:45:08,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/7/77/097_Josepinism_Style_Furniture.jpg,,,,,,,,
882949905,false,finalized,3,3/25/2016 13:43:19,one_person,1.0,,,,,male,1.0,http://upload.wikimedia.org/wikipedia/commons/d/d4/M%C3%B6beltischler_%28Plau%29.JPG,,,,,,,,
882949906,false,finalized,3,3/25/2016 13:45:10,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/2/2b/FvB_Schrank_2005.jpg,,,,,,,,
882949907,false,finalized,3,3/25/2016 13:43:19,several_persons_no_single_persons_depiction_is_dominant,1.0,only_male,1.0,,,,,http://upload.wikimedia.org/wikipedia/commons/c/cf/LES_ROSSYANN_Weisscloun_und_dummer_August.JPG,,,,,,,,
882949908,false,finalized,3,3/25/2016 13:46:24,several_persons_no_single_persons_depiction_is_dominant,0.6857,only_male,0.6857,,,,,http://upload.wikimedia.org/wikipedia/commons/b/b7/Faroe_stamp_415_clowns.jpg,,,,,,,,
882949909,false,finalized,3,3/25/2016 13:46:21,several_persons_no_single_persons_depiction_is_dominant,1.0,mixed_equal_amount_of_male_and_female_persons,1.0,,,,,http://upload.wikimedia.org/wikipedia/commons/1/1b/ANGELA_und_VINCENZO.JPG,,,,,,,,
