	Berufsgruppe	Frauen	KldB	KldB5	Männer	Overall	name	Bias	page_exist	label
155	Berufe im biologisch-techn. Laboratorium	73.2942168505	4121	41212	26.7057831495	28462.0	Biologisch-technischer Assistent	male	only male	male
156	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26312	88.5618394447	191884.0	Systemelektroniker	male	only male	male
157	Berufe in der Isolierung	1.2101210121	3331	33312	98.7898789879	11817.0	Industrie-Isolierer	male	only male	male
158	Berufe Drechslerei, Spielzeugherstellung	60.4	9333	93332	39.6	750.0	Holzspielzeugmacher	male	only male	male
159	Berufe in der Automatisierungstechnik	6.35842667361	2612	26122	93.6415733264	38390.0	Prozessleitelektroniker	male	only male	male
160	Aufsicht,Führung - Getränkeherstellung	4.35766836446	2919	29193	95.6423316355	1767.0	Kellermeister	male	only male	male
161	Berufe in der Physik (s.s.T.)	13.6886395512	4148	41484	86.3113604488	7130.0	Astrophysiker	male	only male	male
162	Aufsicht - Büro und Sekretariat	70.9926383282	7149	71493	29.0073616718	16844.0	Büroleiter	male	only male	male
163	Berufe in der Nutztierhaltung	43.2111947848	1121	11212	56.7888052152	17794.0	Zootechniker	male	only male	male
164	Berufe i.d. Kinderbetreuung, -erziehung	91.0178488053	8311	83112	8.9821511947	732486.0	Erzieher	male	only male	male
165	Berufe im biologisch-techn. Laboratorium	73.2942168505	4121	41212	26.7057831495	28462.0	Biologielaborant	male	only male	male
166	Berufe in der Informatik (o.S.)	16.2154269235	4310	43103	83.7845730765	164362.0	Informatiker	male	only male	male
167	FlechtwerkgestalterBürsten-,Pinselmacher	59.0717299578	2235	22352	40.9282700422	1659.0	Flechtwerkgestalter	male	only male	male
168	Aufsicht,Führung-Unternehmensorg,strateg	25.9924816691	7139	71393	74.0075183309	451696.0	Gruppenleiter	male	only male	male
169	Berufe Datenbankentwickl., -administr.	23.924239907	4335	43353	76.075760093	6019.0	Datenbankadministrator	male	only male	male
170	Berufe handwerkl.Metall-,Glockengießerei	4.20514511873	2414	24142	95.7948548813	6064.0	Kernmacher	male	only male	male
171	Trainer/innen - Ballsportarten	7.80452224654	8454	84543	92.1954777535	1371.0	Fußballtrainer	male	only male	male
172	Autoren/Autorinnen, Schriftsteller/innen	47.7832512315	9243	92434	52.2167487685	812.0	Redenschreiber	male	only male	male
173	Berufe im Kanal- und Tunnelbau	0.544182430682	3225	32252	99.4558175693	3859.0	Kanalbauer	male	only male	male
174	Berufe in der Textilherstellung	34.0723731095	2812	28122	65.9276268905	12629.0	Weber	male	only male	male
175	Berufe Naturstein-,Mineralaufbereitung	4.23446184942	2121	21212	95.7655381506	9895.0	Naturwerksteinmechaniker	male	only male	male
176	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26312	88.5618394447	191884.0	Kommunikationstechnischer Assistent	male	only male	male
177	Redakteure/innen, Journalisten/innen	50.5608415413	9241	92414	49.4391584587	71678.0	Reporter	male	only male	male
178	Zahnmedizinische Fachangestellte	99.4084063138	8111	81113	0.591593686223	193545.0	Zahnmedizinischer Prophylaxeassistent	male	only male	male
179	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26312	88.5618394447	191884.0	Informationselektroniker	male	only male	male
180	Berufe kaufm.,techn.Betriebswirtsch.(oS)	62.1600224791	7130	71302	37.8399775209	935981.0	Sachbearbeiter	male	only male	male
181	Kunsthandw.Schmuckherst.,Edelsteinbearb.	60.9995903318	9352	93522	39.0004096682	4882.0	Kettengoldschmied	male	only male	male
182	Berufe i.d. spanlosen Metallbearbeitung	12.937104197	2421	24212	87.062895803	25423.0	Drahtwarenmacher	male	only male	male
183	Berufe im Verkauf (ohne Produktspezial.)	74.4604823678	6210	62102	25.5395176322	964658.0	Verkäufer	male	only male	male
184	Berufe im Verkauf von Fleischwaren	92.3912445691	6232	62322	7.6087554309	72732.0	Fachverkäufer im Lebensmittelhandwerk (Fleischerei)	male	only male	male
185	Lehrkräfte in der Sekundarstufe	70.4238331399	8412	84124	29.5761668601	142155.0	Lehrer	male	only male	male
186	Berufe in der industriellen Glasbläserei	26.8707482993	2133	21332	73.1292517007	294.0	Leuchtröhrenglasbläser	male	only male	male
187	Berufe in der Tierpflege (o.S.)	46.9706787624	1150	11502	53.0293212376	12346.0	Tierpfleger	male	only male	male
188	Berufe im Streich-, Zupfinstrumentenbau	29.8076923077	9361	93612	70.1923076923	416.0	Zupfinstrumentenmacher	male	only male	male
189	Berufe operations-/med.-techn. Assistenz	77.7285201604	8133	81332	22.2714798396	9474.0	Operationstechnischer Assistent	male	only male	male
190	Technische Konfektionäre, Segelmacher	54.8604292327	2823	28232	45.1395707673	7129.0	Segelmacher	male	only male	male
191	Servicefachkräfte im Luftverkehr	78.2033652524	5142	51422	21.7966347476	39997.0	Servicekaufmann im Luftverkehr	male	only male	male
192	Berufe in der Heilkunde und Homöopathie	76.6557645135	8175	81752	23.3442354865	2446.0	Heilpraktiker	male	only male	male
193	Kunsthandw.Schmuckherst.,Edelsteinbearb.	60.9995903318	9352	93522	39.0004096682	4882.0	Goldschläger	male	only male	male
194	Berufe Estrich- und Terrazzoverlegung	0.557103064067	3312	33122	99.4428969359	4308.0	Estrichleger	male	only male	male
195	Komiker/innen, Kabarettisten/innen	54.5454545455	9431	94313	45.4545454545	33.0	Komiker	male	only male	male
196	Berufe im Tiefbau (o.S.)	2.56153858974	3220	32202	97.4384614103	60003.0	Spezialtiefbauer	male	only male	male
197	Grill-, Braten- u. Fischköche/-köchinnen	37.0960187354	2932	29322	62.9039812646	2135.0	Rotisseur	male	only male	male
198	Berufe i.d. elektrischen Betriebstechnik	4.9236883504	2625	26252	95.0763116496	108699.0	Industrieelektriker	male	only male	male
199	Assistenz Rechtsanwaltskanzlei,Notariat	94.3062952197	7311	73112	5.69370478029	94262.0	Patentanwaltsfachangestellter	male	only male	male
200	Berufe in der Bild- und Tontechnik	26.5236833389	9453	94533	73.4763166611	12076.0	Tontechniker	male	only male	male
201	Berufe i.d. elektrischen Betriebstechnik	4.9236883504	2625	26252	95.0763116496	108699.0	Industrieelektroniker	male	only male	male
202	Verkauf drogerie-,apothekenübliche Waren	96.3538976351	6241	62412	3.64610236486	89054.0	Pharmazeutisch-kaufmännischer Angestellter	male	only male	male
203	Dirigenten/Dirigentinnen	27.8372591006	9413	94134	72.1627408994	934.0	Ensembleleiter	male	only male	male
204	Bankkaufleute	59.7982510844	7211	72112	40.2017489156	501911.0	Sparkassenkaufmann	male	only male	male
205	Berufe in der Schiffbautechnik	6.19822907741	2524	25244	93.8017709226	3501.0	Schiffbauingenieur	male	only male	male
206	Berufe in der Steuerberatung	76.2525479477	7230	72304	23.7474520523	172688.0	Steuerbevollmächtigter	male	only male	male
207	Aufsicht,Führung-Unternehmensorg,strateg	25.9924816691	7139	71394	74.0075183309	451696.0	Teamleiter	male	only male	male
208	Berufe in der Werkzeugtechnik	3.10172465159	2452	24522	96.8982753484	90627.0	Facharbeiter für Fertigungsmittel	male	only male	male
209	Berufe technisch. Schiffsverkehrsbetrieb	3.8146208153	5113	51132	96.1853791847	8782.0	Matrose	male	only male	male
