	men	women	all_persons	men_ratio	labor_market_women_ratio	profession	Bias	prof_gender	labor_market_domin	labor_market_all	women_ratio	labor_market_women	labor_market_men
Gärtner	8	0	8	1.0	21.8356761854	Gärtner	male	male	male	135732.0	0.0	29638.0	106094.0
Hafenarbeiter	11	0	11	1.0	24.9768310941	Hafenarbeiter	male	male	male	1265705.0	0.0	316133.0	949572.0
Handelsfachwirt	2	1	3	0.666666666667	49.2979461483	Handelsfachwirt	male	male	male	18161.0	0.333333333333	8952.99999999	9208.00000001
Handelsvertreter	3	1	4	0.75	34.1969853683	Handelsvertreter	male	male	male	462146.0	0.25	158040.0	304106.0
Hauslehrer	5	0	5	1.0	75.0819356083	Hauslehrer	male	male	female	10374.0	0.0	7789.00000001	2584.99999999
Hausmeister	1	1	2	0.5	6.86331637035	Hausmeister	male	male	male	231681.0	0.5	15901.0	215780.0
Hebamme	35	41	76	0.460526315789	99.8431372549	Hebamme	female	female	female	10200.0	0.539473684211	10184.0	16.0000000002
Heilgehilfe	0	1	1	0.0	84.9596721778	Heilgehilfe	male	male	female	807755.0	1.0	686266.0	121489.0
Heilpraktiker	7	1	8	0.875	76.6557645135	Heilpraktiker	male	male	female	2446.0	0.125	1875.0	571.0
Heizer	1	1	2	0.5	12.501779731	Heizer	male	male	male	210706.0	0.5	26342.0	184364.0
Helfer	8	2	10	0.8		Helfer	male	male			0.2		
Hilfspolizei	13	3	16	0.8125	37.7005047672	Hilfspolizei	neutral	neutral	male	8915.0	0.1875	3361.0	5554.0
Historiker	157	8	165	0.951515151515	49.6703296703	Historiker	male	male	male	910.0	0.0484848484848	452.0	458.0
Holz- und Bautenschützer	1	0	1	1.0	1.22249388753	Holz- und Bautenschützer	male	male	male	1636.0	0.0	20.0	1616.0
Holzblasinstrumentenmacher	2	0	2	1.0	29.4294294294	Holzblasinstrumentenmacher	male	male	male	333.0	0.0	97.9999999999	235.0
Holzfäller	3	0	3	1.0	5.09963399756	Holzfäller	male	male	male	24590.0	0.0	1254.0	23336.0
Holzspielzeugmacher	0	1	1	0.0	60.4	Holzspielzeugmacher	male	male	female	750.0	1.0	453.0	297.0
Honorarprofessor	2	0	2	1.0	42.812488391	Honorarprofessor	male	male	male	188431.0	0.0	80672.0	107759.0
Host	3	1	4	0.75	58.3260838046	Host	neutral	male	female	27588.0	0.25	16091.0	11497.0
Hostess	1	2	3	0.333333333333	58.3260838046	Hostess	neutral	female	female	27588.0	0.666666666667	16091.0	11497.0
Hotelfachmann	1	0	1	1.0	79.2351889413	Hotelfachmann	male	male	female	141499.0	0.0	112117.0	29381.9999999
Illusionist	19	1	20	0.95	19.2592592593	Illusionist	male	male	male	135.0	0.05	26.0000000001	109.0
Imker	20	4	24	0.833333333333	28.5714285714	Imker	male	male	male	126.0	0.166666666667	36.0	90.0
Immissionsschutzbeauftragter	1	0	1	1.0	26.1261261261	Immissionsschutzbeauftragter	male	male	male	555.0	0.0	145.0	410.0
Immobilienmakler	3	0	3	1.0	57.0449103969	Immobilienmakler	male	male	female	55132.0	0.0	31450.0	23682.0
Industriemeister	2	0	2	1.0	7.61356849122	Industriemeister	male	male	male	145661.0	0.0	11090.0	134571.0
Ingenieur	22	13	35	0.628571428571	7.47075732134	Ingenieur	male	male	male	35137.0	0.371428571429	2625.0	32512.0
Inspektor	5	0	5	1.0	16.2258392675	Inspektor	male	male	male	3932.0	0.0	637.999999998	3294.0
Installateur	1	0	1	1.0	3.41477678862	Installateur	male	male	male	30778.0	0.0	1051.0	29727.0
Intendant	69	5	74	0.932432432432	40.1872883044	Intendant	male	male	male	5019.0	0.0675675675676	2017.0	3002.0
Jockey	6	1	7	0.857142857143	8.49660523763	Jockey	neutral	neutral	male	5155.0	0.142857142857	438.0	4717.0
Journalist	41	18	59	0.694915254237	50.5608415413	Journalist	male	male	female	71678.0	0.305084745763	36241.0	35437.0
Jurist	17	3	20	0.85	57.9327818764	Jurist	male	male	female	26838.0	0.15	15548.0	11290.0
Justiziar	19	0	19	1.0	57.9327818764	Justiziar	male	male	female	26838.0	0.0	15548.0	11290.0
Juwelier	1	0	1	1.0	60.9995903318	Juwelier	male	male	female	4882.0	0.0	2978.0	1904.0
Jäger	8	1	9	0.888888888889	9.27835051546	Jäger	male	male	male	388.0	0.111111111111	36.0	352.0
Kaffeeröster	7	0	7	1.0	39.4550784618	Kaffeeröster	male	male	male	5799.0	0.0	2288.0	3511.0
Kameramann	61	5	66	0.924242424242	16.156507852	Kameramann	male	male	male	3757.0	0.0757575757576	607.0	3150.0
Kapitän	2	0	2	1.0	4.49203447375	Kapitän	male	male	male	3829.0	0.0	172.0	3657.0
Kartograf	94	1	95	0.989473684211	47.4680548982	Kartograf	male	male	male	2113.0	0.0105263157895	1003.0	1110.0
Kastellan	0	1	1	0.0	27.9733089101	Kastellan	male	male	male	7643.0	1.0	2138.0	5505.0
Kaufmann	5	0	5	1.0		Kaufmann	male	male			0.0		
Kellermeister	2	0	2	1.0	4.35766836446	Kellermeister	male	male	male	1767.0	0.0	77.0	1690.0
Kinder- und Jugendlichenpsychotherapeut	5	4	9	0.555555555556	78.1458251666	Kinder- und Jugendlichenpsychotherapeut	male	male	female	5102.0	0.444444444444	3987.0	1115.0
Kindheitspädagoge	7	0	7	1.0	74.5593544277	Kindheitspädagoge	male	male	female	37672.0	0.0	28088.0	9584.0
Klavierbauer	4	0	4	1.0	16.3310961969	Klavierbauer	male	male	male	894.0	0.0	146.0	748.0
Klavierstimmer	1	0	1	1.0	16.3310961969	Klavierstimmer	male	male	male	894.0	0.0	146.0	748.0
Klempner	6	0	6	1.0	1.24864495925	Klempner	male	male	male	24907.0	0.0	311.0	24596.0
Knecht	11	0	11	1.0	21.5765899789	Knecht	neutral	male	male	124357.0	0.0	26832.0000001	97524.9999999
Koch	17	3	20	0.85	52.9232533486	Koch	male	male	female	449961.0	0.15	238134.0	211827.0
Komparse	3	1	4	0.75	41.5165165165	Komparse	male	male	male	1332.0	0.25	553.0	779.0
Komponist	14	4	18	0.777777777778	31.8181818182	Komponist	male	male	male	22.0	0.222222222222	7.0	15.0
Konstrukteur	30	0	30	1.0	12.2194707453	Konstrukteur	male	male	male	102975.0	0.0	12583.0	90392.0
Korrektor	7	1	8	0.875	76.9957343083	Korrektor	male	male	female	3282.0	0.125	2527.0	755.000000002
Korrepetitor	4	1	5	0.8	35.5086372361	Korrepetitor	male	male	male	521.0	0.2	185.0	336.0
Kostümbildner	1	1	2	0.5	70.9736680955	Kostümbildner	male	male	female	3266.0	0.5	2318.0	948.000000001
Kraftfahrer	1	2	3	0.333333333333	24.9768310941	Kraftfahrer	male	male	male	1265705.0	0.666666666667	316133.0	949572.0
Kunsthistoriker	6	2	8	0.75	67.3256247669	Kunsthistoriker	male	male	female	2681.0	0.25	1805.0	875.999999999
Kunstkritiker	34	6	40	0.85	50.5608415413	Kunstkritiker	male	male	female	71678.0	0.15	36241.0	35437.0
Kunstschmied	12	2	14	0.857142857143	14.0532544379	Kunstschmied	male	male	male	676.0	0.142857142857	95.0000000002	581.0
Kupferschmied	3	0	3	1.0	3.29425467804	Kupferschmied	male	male	male	39493.0	0.0	1301.0	38192.0
Kupferstecher	57	1	58	0.98275862069	48.7741935484	Kupferstecher	male	male	male	775.0	0.0172413793103	378.0	397.0
Kutscher	1	0	1	1.0	15.3005464481	Kutscher	male	male	male	366.0	0.0	56.0	310.0
Küchenchef	1	0	1	1.0	18.02864773	Küchenchef	male	male	male	20595.0	0.0	3712.99999999	16882.0
